date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,
11/02/1982,Rhode Island,RI,FALSE,FALSE,FALSE,Salk,citizens,FALSE,0.02085408957206570,
11/02/1982,Rhode Island,RI,FALSE,FALSE,FALSE,Marzullo,republican,FALSE,0.23603401651010500,
11/02/1982,Rhode Island,RI,FALSE,FALSE,FALSE,Garrahy,democratic,FALSE,0.7330154663630330,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Prince,independent,TRUE,6.34783763450116E-07,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Kimmett,independent,TRUE,1.14261077421021E-06,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Augustitus,independent,TRUE,1.14261077421021E-06,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Arnold,independent,TRUE,4.44348634415081E-06,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Clark,independent,TRUE,5.459140365671E-06,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Courtney,independent,TRUE,5.58609711836102E-06,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Mason,independent,TRUE,2.7676572086425E-05,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Griffin,american independent,FALSE,0.007141190382061110,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Martinez,peace & freedom,FALSE,0.008928487546431260,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Dougherty,libertarian,FALSE,0.010293145681096300,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Bradley,democratic,FALSE,0.4808701565046670,
11/02/1982,California,CA,FALSE,FALSE,FALSE,Deukmejian,republican,FALSE,0.49272093458451800,
11/02/1982,Kansas,KS,FALSE,FALSE,FALSE,Martin,prohibition,FALSE,0.005769963957377730,
11/02/1982,Kansas,KS,FALSE,FALSE,FALSE,Shelton,american,FALSE,0.008039168674493590,
11/02/1982,Kansas,KS,FALSE,FALSE,FALSE,Ward,libertarian,FALSE,0.00995069851414257,
11/02/1982,Kansas,KS,FALSE,FALSE,FALSE,Hardage,republican,FALSE,0.4446121454858940,
11/02/1982,Kansas,KS,FALSE,FALSE,FALSE,Carlin,democratic,FALSE,0.531628023368092,
11/02/1982,South Dakota,SD,FALSE,FALSE,FALSE,O'Connor,democratic,FALSE,0.2912672941750850,
11/02/1982,South Dakota,SD,FALSE,FALSE,FALSE,Janklow,republican,FALSE,0.7087327058249150,
11/02/1982,Vermont,VT,FALSE,FALSE,FALSE,Buttolph,libertarian,FALSE,0.004732616055444280,
11/02/1982,Vermont,VT,FALSE,FALSE,FALSE,Gottlieb,liberty union,FALSE,0.005022126900284190,
11/02/1982,Vermont,VT,FALSE,FALSE,FALSE,Kunin,democratic,FALSE,0.43954836308205000,
11/02/1982,Vermont,VT,FALSE,FALSE,FALSE,Snelling,republican,FALSE,0.5501355974263080,
11/02/1982,Massachusetts,MA,FALSE,FALSE,FALSE,Write-In,nonpartisan,TRUE,0.00023411733375474500,
