date,state,county,candidate,party,candidatevotes,totalvotes
11/8/1960,AL,Morgan,Other,other,29,12248
11/8/1960,AL,Perry,Kennedy,democrat,973,1839
11/8/1960,AL,Perry,Nixon,republican,744,1839
11/8/1960,AL,Perry,Byrd,southern democrat,75,1839
11/8/1960,AL,Perry,Faubus,independent,44,1839
11/8/1960,AL,Perry,Other,other,3,1839
11/8/1960,AL,Pickens,Kennedy,democrat,1836,3183
11/8/1960,AL,Pickens,Nixon,republican,1277,3183
11/8/1960,AL,Pickens,Byrd,southern democrat,43,3183
11/8/1960,AL,Pickens,Faubus,independent,23,3183
11/8/1960,AL,Pickens,Other,other,4,3183
11/8/1960,AL,Pike,Kennedy,democrat,3421,4469
11/8/1960,AL,Pike,Nixon,republican,1006,4469
11/8/1960,AL,Pike,Byrd,southern democrat,21,4469
11/8/1960,AL,Pike,Faubus,independent,17,4469
11/8/1960,AL,Pike,Other,other,4,4469
11/8/1960,AL,Randolph,Kennedy,democrat,3175,4922
11/8/1960,AL,Randolph,Nixon,republican,1697,4922
11/8/1960,AL,Randolph,Byrd,southern democrat,33,4922
11/8/1960,AL,Randolph,Faubus,independent,7,4922
11/8/1960,AL,Randolph,Other,other,10,4922
11/8/1960,AL,Russell,Kennedy,democrat,3480,5348
11/8/1960,AL,Russell,Nixon,republican,1770,5348
11/8/1960,AL,Russell,Byrd,southern democrat,48,5348
11/8/1960,AL,Russell,Faubus,independent,40,5348
11/8/1960,AL,Russell,Other,other,10,5348
11/8/1960,AL,Shelby,Kennedy,democrat,3225,6481
11/8/1960,AL,Shelby,Nixon,republican,3157,6481
11/8/1960,AL,Shelby,Byrd,southern democrat,46,6481
11/8/1960,AL,Shelby,Faubus,independent,38,6481
11/8/1960,AL,Shelby,Other,other,15,6481
11/8/1960,AL,St_Clair,Kennedy,democrat,3039,5664
11/8/1960,AL,St_Clair,Nixon,republican,2589,5664
11/8/1960,AL,St_Clair,Byrd,southern democrat,12,5664
11/8/1960,AL,St_Clair,Faubus,independent,11,5664
11/8/1960,AL,St_Clair,Other,other,13,5664
11/8/1960,AL,Sumter,Kennedy,democrat,765,1511
11/8/1960,AL,Sumter,Nixon,republican,623,1511
11/8/1960,AL,Sumter,Byrd,southern democrat,74,1511
11/8/1960,AL,Sumter,Faubus,independent,47,1511
11/8/1960,AL,Sumter,Other,other,2,1511
11/8/1960,AL,Talladega,Kennedy,democrat,5729,10568
11/8/1960,AL,Talladega,Nixon,republican,4723,10568
11/8/1960,AL,Talladega,Byrd,southern democrat,77,10568
11/8/1960,AL,Talladega,Faubus,independent,17,10568
11/8/1960,AL,Talladega,Other,other,22,10568
11/8/1960,AL,Tallapoosa,Kennedy,democrat,5460,7684
11/8/1960,AL,Tallapoosa,Nixon,republican,2150,7684
